Text,label
د باميان ولايت اوسېدونکې او د فاطمې مور ۳۵ کلنه نور بي‌بي د ياد ټولګي جوړېدل ستايي او وايي چې نه غواړي ماشومان يې نالوستي پاتې شي.,Negative
په بريتانيا کې د انرژۍ او د خوراکي توکو بيو لوړېدل ددې لامل شوي چې دا هېواد په تېرو ۴۰ کلونو کې د تورم بې سابقې کچې ته ورسېږي.,Neutral
وروستۍ نښتې د څو ورځني تاوتریخوالي وروسته وشوې، ځکه چې د چټک غبرګون ځواکونه په ټول هېواد کې ځای پر ځای شول، پوځ دا ګام د یوه ګواښ په توګه یاد کړی.,Neutral
د اړوندې موضوع په اړه د بلخ اوسېدونکې سيما پژواک ته وويل چې د تېرو کلونو په پرتله د ځوانانو او په ځانګړې توګه د نجونو ترمنځ د کتاب لوستنې فرهنګ کمرنګه شوي دى.,Positive
د ټولنيز عدالت نړيواله ورځ؛ افغان مېرمنې د ټولنيز عدالت د ټينګښت غوښتنه کوي,Positive
دا په داسې حال کې ده چې د ۵۶۲ ورځو په تېريدو سره اوس هم د نجونو پر مخ د ښوونځيو دروازې له شپږم ټولګي پورته تړلې دي؛ پوهنتونونه هم د تېر کال د ليندۍ مياشتې په وروستيو کې د نجونو پر مخ تر دويم امر پورې وتړل شول او په کورني او بهرني غيردولتي بنسټونو کې هم د ښځو پر کار د تېر کال د مرغومي په لومړيو کې بنديز ولګېد.,Negative
تېره اونۍ، اروپايي ټولنې ګواښ کړي چې که د ملګرو ملتونو په ادارو کې د افغان ښځو پر کار بنديز لرې نه شي، دوي به له افغانستان سره د خپلو مرستو پر دوام بيا کتنه وکړي.,Neutral
د پوليسو دغې مشرې ونه ويل چې د بريد انګيزه يې څه وه او دا چې بريدګر له کوم ډول وسلې څخه کار اخيستي دي.,Positive
يو ناروغ لطف الرحمان وايي: «ډېر ناروغ وم، ټوخل مې، ډېر درمل مې واخيستل، خو هېڅ تاثير يې راباندې وکړ.»,Positive
د ملي تدارکاتو ادارې سرپرست وايي، دغه امبولانسونه له ازبکستان څخه د څه دپاسه شپږ مېليونه ډالرو په ارزښت پېرل شوي دي.,Positive
همداراز، يو شمېر زده‌کوونکي چې له دغو درسي توکو څخه برخمن شوي، د پوهنې له رياست او يونيسف ادارې څخه خوښ دي او وايي، ښوونځيو ته د پخوا په پرتله پاملرنه ډېره شوې او دوي په پوره لېوالتيا سره زده‌کړه کوي.,Neutral
له دې سره سم، د ننګرهار يو شمېر اوسېدونکي له عامې روغتيا وزارته غواړي چې په ختيځو ولايتونو کې د ګوزڼ ناروغۍ د لمنځه وړلو لپاره په دغو سيمو کې د واکسيناسيون بهير دوامداره کړي.,Positive
د ملګرو ملتونو يادې ادارې خبرداري ورکړي، که ژر تر ژره بېړنۍ مرستې ورته و نه رسېږي نو ميليونونه افغانان به د قحطۍ، ناروغۍ او مرګ له ګواښونو سره مخ شي.,Neutral
نوموړي وايي، سره له ننه د کابل ښار په ۳۲ ساحو کې د ډبرو سکرو د وېش لړۍ عملاً پيل شوې ده.,Positive
د اسرائيل دفاعي ځواکونو پر پنجشنبه ناوخته وويل، دوي ''همدا اوس په غزه کې هوايي بريدونه '' کوي. په غزه کې د يو شمېر چاودنو غږونه اورېدل شوي او د اې ايف پي خبري اژانس رپوت کې ويل شوي، د حماس پر يو شمېر روزنيزو مرکزونو بمباري شوې.,Negative
علي بابا شرکت دا هم ويلي چې دا چټ‌باټ به په Tmall Genie کې هم مدغم شي چې د امازون د اليکسا غږيز ځيرک سپيکر ته ورته دي.,Neutral
"هغې وويل ""داسې شيبه راغله چې ومې ويل نور بايد ورځې ونه شمېرم"".‌",Neutral
په دغه ناسته کې د پوهنتون موضوع هم و ارزول شوه او هم تخنيکي پلاوي راتلونکې غوڼدې ته، د خوړو د مديريت استازي له دغې ادارې څخه د استول شويو دوسيو وضاحت په موخه وغوښتل شو.,Negative
"ده کمپاس تلوېزيون ته وويل: ""له ډېرو سيمو قربانيان راوړل کېږي. شاوخوا ۷۰۰ خلک ټپيان شوي دي"".",Positive
کابل (پژواک، ۲۵ وري ۱۴۰۲): د سرپرست حکومت له لوري دوه نوي مرستيال واليان، د تورخم دروازې کميسار او د غزني اندړو ولسوالۍ ته نوي ولسوال ټاکل شوي دي.,Neutral
د سياسي چارو يو بل کارپوه سليم کاکړ زياتوي: «نور هېوادونه په افغانستان کې خپل سفارتونه پرانيزي او يا هغه هېوادونه چې په افغانستان کې خپلې سفارت خونې لري، کولاي شي له نړۍ سره د اسلامي امارت د اړيکو په برخه کې مهم رول ولوبوي.»,Positive
د نومبر ۲۰مه ماشومانو نړيواله ورځ ده. د ملګرو ملتونو عمومي منشي وايي، ماشومان تر ټولو ستره هيله ده او د دوي د ښې راتلونکې لپاره بايد هڅې وشي.,Positive
د مزارشريف ښاروال مولوي نقيب‌الله طارق د لېندۍ په اتمه پژواک ته وويل، د مزارشريف ښاروالۍ له خپلو راټول کړو عوايدو څخه د ۲۲۰ ميليون افغانيو په لګښت د سړک جوړونې د ٢٢ پروژو عملي چارې پيل کړې دي.,Positive
د طالبانو د پاسپورت رياست وياند نورالله پتمن وايي، پاسپورت رياست کې له پيله ستونزې وې خو د دوي هڅه دا ده چې دا ستونزې حل شي او اوس دا وړتيا لري چې هره ورځ له اتو تر لسو زرو پاسپورتونه پر افغانانو وېشي او پاسپورت ته يې د انلاين غوښتنليک استولو سيستم بېرته فعال کړي دي.,Negative
په خيبر پښتونخوا کې له تېرې مياشتې راهيسې د تاوتريخوالي څو پېښې شوې دي.,Positive
"[28/11, 4:00 pm] +93 79 958 7778: ابوظبۍ .",Positive
په سږني فصل کې يې د افغانستان پنځه لوبغاړي راشد خان، فضل حق فاروقي، رحمان الله ګربز، نور احمد لکڼوال او نوين الحق هم لوبېږي.,Positive
دپاکستاني پوځ عامه اړيکو څانګې ( ايي ايس پي ار) له لوري جاري کړل شوي بيان له مخې دشمالي وزيرستان   په ميرعلي سيمه کې  دترهه ګرو او  امنيتي ځواکونو ترمينځ دډزو تبادله شوې ده,Negative
کابل، د وري ۲۰مه، باختر,Neutral
کندهار کې يوه روږدي خپله مېرمن وژلې,Negative
الراس سيمه دوبۍ ښار کې د سرو زرو او مسالو پلورنځيو ته څېرمه پرته ده چې سيلانيان ډېر ورځي.,Neutral
اوس تر ټولو مخکښ د مصنوعي ځيرکتيا چټباټ چټ جي پي ټي دي چې د انسانانو ځوابونو ته ورته ځوابونه راوړلي او اکاډيميک کارونه توليدولي شي او فکر کېږي چې په راتلونکي کې به په ټوله نړۍ کې مشهور او کارندوالي به يې ډېر شي.,Neutral
نوموړې پژواک خبري اژانس ته وويل، په کور کې دوه وطنۍ غواګانې لري او هره ورځ تر ۳۰ کيلوګرام شيدې ورڅخه ترلاسه کوي او بازار ته يې عرضه کوي.,Negative
دا شمېره په قطر کې د دغو هېوادونو د سفارتونو د راغونډو شويو شمېرو پربنسټ اعلان شوې دي.,Positive
د بلخ د ترافيکو مديريت تېر کال څه باندې ۱۳۲ ميليونه افغانۍ عوايد راټول کړي دي,Negative
نوموړي وويل، د دغو سېلابونو له امله له سل جريب ډېره کرنيزه ځمکه د تالقان ښار اړوند په خطايان سيمه کې او له ۲۰۰۰ جريب ډېره کرنيزه ځمکه په اشکمش او بنګي ولسواليو کې تخريب شوې ده.,Negative
مزارشريف-ګرديز (پژواک، ١٣ ورى ١۴٠٢): امنيتي مسوولين وايي، په بلخ او پکتيا ولايتونو کې ١٣٠ ميله بېلابېل ډوله وسلې کشف او ترلاسه شوې دي.,Negative
د يادو کسانو له ډلې حاجي فرهاد بيک پژواک ته وويل، ميوند بانک د افغانستان بانک د اعلان خلاف خپلو پېرودونکو ته پيسې نه ورکوي.,Neutral
د افغانستان پخواني ولسمشر حامد کرزي او د افغانستان لپاره د امريکا ځانګړي استازي ټام ويسټ هم په افغانستان کې د تلپاتې سولې او ثبات د ټينګښت په موخه پر بين‌الافغاني مذاکراتو خبرې کړې دي.,Positive
په سعودي عربستان کې د اعدام سزه معمولاً د سر په پرې کولو سره کيږي.,Negative
افغان او پاکستاني سوداګر وايي، چې که چيرې د دواړو هيوادونو په بندرونو او سرحدي لارو کې سهتلونه زيات شي د افغانستان او پاکستان ترمنځ سوداګري نوره هم زياتيدلي شي.,Neutral
////////////////////////////,Positive
د افغانستان بانک د معلوماتو له مخې، د اسعارو د ليلام په داوطلبۍ کې د معاملاتو قسمي تسويې ته اجازه نه ورکول کېږي او د ليلام ګټونکي به د خپل ذمت اندازه پيسې په يو ځل او نغدي ډول په ټاکلې موده کې دغه بانک ته سپاري.,Positive
"هغې ويلي: ""د اروپا پارلمان د افغانستان خلکو ته ژمن دي،نه د هغوي حاکمانو ته.طالبان غواړي چې ښځې پټې وي.موږ غواړو چې هغوي [افغانستان ښځې] پرمختګ وکړي.او تر څو چې هغوي په ټولنه کې بيرته خپل برحق ځاي لاسته راوړي، موږ به د هغوي د اواز پياوړتيا ته دوام ورکړو.""",Positive
د هدفي وژنو په خلاف د شمالي وزيرستان د ولسونو اعتراضيه ناسته,Neutral
په موسمي ناروغيو کې سخت رېزش، سينه بغل، زکام او ځينې نورې تنفسي ناروغۍ شاملې دي چې په ننګرهار کې د باران نه ورښت له امله دغه ناروغۍ ډېرې شوې دي.,Positive
ښاغلي خاشقجي چې د رياض حکومت له سختو منتقدينو يو و، د ۲۰۱۸ کال اکتوبر کې په استانبول کې په سعودي کونسلګرۍ کې وژل شوي و.,Positive
دغه نجونې زده‌کوونکې له سرپرست حکومت غواړي چې منځني ښوونځي او لېسې پرانيستل شي.,Positive
۵ ليندۍ ۱۴۰۱ - ۲۷ نومبر ۲۰۲۲,Positive
ننګرهار او بغلان کې خپلمنځي نښتې؛ ۵ کسانو ته مرګ‌ژوبله اوښتې,Positive
د يادونې ده، چې روسيې پرلپسې شکايتونه کړي، چې د بنديزونو له کبله يې د غنمو او کيمياوي سرې صادرات خورا سخت اغېزمن شوي او لږ تر لږه دوه ځله يې ګواښ کړي، چې که غوښتنې يې و نه منل شي، له بي اېس جي اي سره به همکاري ختمه کړي.,Neutral
روسيې ته د امنيت شورا د مشرۍ سپارل کېدو اوکرايين غوسه کړي,Negative
دي يوځل له کابله د بريتانوي پوځيانو د تخليې پرمهال بريتانيايي پوځ له افغانستانه رايستلي و.,Negative
د تېلو د توليد کمولو پرېکړه اوپک پلس کې د تېلو د توليدوونکو غړو له لوري اعلان شوې ده.,Negative
دوي دغه‌راز وايي، د نورو اړينو لومړنيو توکو بيې هم له ۱۰ څخه تر ۱۰۰ افغانيو لوړې شوې چې يو شمېر خلک يې د پېرلو توان نه لري.,Positive
د يادونې ده چې تر دې وړاندې هم ډنډپټان او د ډيورنډ کرښې اوږدو کې په نورو سيمو کې د پاکستاني ځواکونو او له تېر څه باندې يوه کال راهيسې پر افغانستان د واکمنو طالبانو ترمنځ د نښتو رپوټونه ورکړ شوي دي.,Positive
د ورځې وروستۍ لوبه د برازيل او سربيا ترمنځ ترسره شوه، چې برازيل دوه پر صفر وګټله.,Positive
هغه وويل، په هېواد کې له سياسي تحول وروسته د اقتصادي ستونزو زياتېدو له امله د دوي په پلور کې هم ډېر توپير راغلي دي.,Negative
د افغانستان د بشري حقونو خپلواک کمېسيون د طالبانو لخوا د مدني او فرهنګي فعالانو د نيول کېدو په اړه اندېښنه ښودلې او د هغوي د ژر تر ژره خوشې کېدو غوښتنه يې کړې ده.,Negative
دا داسې حال کې ده چې تر دې مخکې د طالبانو حکومت د ماليې وزارت ويلي و چې د وران کال په بودجه کې د متقاعدينو حقوق هم په نظر کې نيول شوي دي او په خبره يې که چيري دغه بهير پيل شي، متقاعدين به له بانکونو څخه خپل حقوق تر لاسه کړي.,Positive
د ده په وينا، دا ډول موضوعات په محاکمو کې په مياشتو، مياشتو وخت اخلي او په پاي کې به ګټونکي لوري خوښ او بايلونکي لوري خفه وي، خو په جرګه کې د پرېکړې په اړه د دواړو لورو قناعت تر لاسه کېږي او شرط يې دا دي چې له يو بل سره به دوستي کوي.,Positive
اسلام آباد۔7اپرېل(اے پي پي) د قومي اسمبلۍ سپيكر راجه پروېز اشرف د ځينې ميډيا پرسنز لخوا د بابائے قوم قائد اعظم په اړه په نامناسبه ټكو د افسوس څرګندونه كولو سره معامله استحقاق كمېټۍ ته سپارلې٬ د قومي اسمبلۍ غړو وېنا وه چې د سېنېټ د غړي په شمول چا ته هم د قائد اعظم په اړه د خبرې كولو بايد جراﺀت ونشي۔ كه عمران خان وي يا كوم بل څوك قائد اعظم سره يۍ بايد موازنه ونكړې شي۔ شېخ روحيل اصغر د اعتراض په نكته ووئيل چې د اوريا مقبول جان د حضرت قائداعظم په اړه ريماركس راته سخت خفګان رسولے په كوم كښې چې هغه وئيلي چې قائد اعظم هم دومره مقبول نه وو څومره چې عمران خان دے۔ ده ووئيل د حضرت قائد اعظم موازانه چا سره سمه نه ده۔ په دې سپيكر معامله استحقاق كمېټۍ ته وسپارله۔ (MWA/MWA/1804),Negative
مسلم ليګ ن ګوند په يو بل ټويټ کې ويلي، اې ار وايي ټي وي ته چېلنج دي چې دغه خبر په برتانيه کې وچلوي، په دروغو او جعلي خبرونو د ارشد شريف د اصل قاتلانو څخه پام اړول کيږي.,Positive
د کابل ښار د تایمني پروژې په دویم سړک کې د وچو مېوو پلورونکي محمدفهیم پژواک ته وویل، د تېرو کلونو په پرتله د خلکو اقتصاد کمزوری شوی، له همدې امله د دوی بازار کمرنګه دی.,Neutral
کابل (پژواک، ۱۲ وري ۱۴۰۲): د کورنيو چارو وزارت وايي، د غير مسوول وسله‌والو او له قانونه د ناسمې ګټې اخيستونکو د پېژندلو په موخه يې د ملکي ادارو له منسوبينو غوښتي چې سر له سبا له دغه وزارته د وسلې ګرځولو اجازه‌ليک واخلي.,Negative
د هغه په خبره، هر زده‌کوونکي به د کاناډا پوهني وزارت له خوا د سويې له امتحان ورکولو وروسته په دغه ښوونځي کې د يوه خانګړي کوډ په ترلاسه کولو شاملېږي او هر ټولګي کې به ۷ کريډېټونه بشپړوي.,Neutral
۲۰۱۸ کال کې د فرانسې په مارسېل ښار کې د کورنو د جوړولو برخه کې د ټاکل شويو معيارونو بيا کتنه وروسته له هغې وکړه چې د دوو ودانيو نړېدو اته کسان ووژل.,Neutral
په کندوز ولايت کې د انجې بوټي کښت ډېر شوي دي,Negative
دغه کمپاين د نړيوالو مرسته کوونکو بنسټنو په همکارۍ پيل شوي دي. د روغتيا نړيوال سازمان له ټولو کورنيو څخه غوښتي چې له دايمي فلج څخه د خوندي کېدو په هدف خپل ماشومان واکسين کړي.,Positive
ايلون مسک د نړۍ د تر ټولو ستر مالي تاوان ريکارډ مات کړ,Neutral
په پروان ولايت کې د اسلامي امارت د وسلوالو مخالفينو مهم قومندان اکمل اميري د اتو تنو سره يو ځاي ووژل شو . د اسلامي امارت د ملي دفاع وزارت رسنيو ته پخپل ورکړي بيان کې ويلي چې د 313 مرکزي قول اردو د دوه سوه يوويشت افتاب فرقې مجاهدينو د پروان ولايت د سالنګ ولسوالۍ اړوند سيمه کې د بغاوتګرو پر پټنځاي عمليات ترسره کړي ، چې په پايله کې يې د بغاوتګرو د يو مشهور قومندان اکمل اميري په شمول اته تنه مخالفين وژلي او يو شمير وسلې يې ترې ترلاسه کړي .,Neutral
په خبرپاڼه کې راغلي: «په تېر کې غاصبينو له فرصت نه په ګټې اخستنې، ډېرې دولتي ځمکې غصب کړې وې او تر اوسه يې هڅه کوله چې غصب شوې ځمکې په خپل واک کې ونيسي. د ا.ا.ا له خوا د غصب شويو ځمکو د بېرته راګرځېدو لپاره تخنيکي کمېټه خپل اړوند اقدمات په ډېرې تېزۍ سره ترسره کوي.»,Positive
