sentence,label_name
all the usual spielberg flair ,positive
should appeal to anyone willing to succumb to it ,positive
terrific b movie ,positive
have completely forgotten the movie by the time you get back to your car in the parking lot ,negative
had the misfortune to watch in quite some time ,negative
's a part of us that can not help be entertained by the sight of someone getting away with something ,positive
hide a weak script ,negative
bitten off more than he or anyone else could chew ,negative
well-thought ,positive
"kids five and up will be delighted with the fast , funny , and even touching story . ",positive
smarter and much ,positive
entertainingly reenacting a historic scandal . ,positive
"the movie is so resolutely cobbled together out of older movies that it even uses a totally unnecessary prologue , just because it seems obligatory . ",negative
matinee price ,positive
underdone ,negative
a strangely stirring experience that finds warmth in the coldest environment and makes each crumb of emotional comfort feel like a 10-course banquet . ,positive
listless and desultory affair ,negative
a screwed-up man who dared to mess with some powerful people ,negative
visual delights ,positive
off-beat and fanciful ,positive
"( `` safe conduct '' ) is a long movie at 163 minutes but it fills the time with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage ",positive
worth catching for griffiths ' warm and winning central performance ,positive
"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . ",negative
as a seven rip-off ,negative
"thought i heard a mysterious voice , and felt myself powerfully drawn toward the light -- the light of the exit sign ",negative
too bland and fustily tasteful to be truly prurient . ,negative
we never really get inside of them . ,negative
"because the movie serves up all of that stuff , nearly subliminally , as the old-hat province of male intrigue ",negative
"its rough-around-the-edges , low-budget constraints ",negative
funny and poignant ,positive
champion ,positive
it is not worth ,negative
a marvel of production design . ,positive
patriot ,positive
"what makes salton sea surprisingly engrossing is that caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion . ",positive
"the emotion is impressively true for being so hot-blooded , and both leads are up to the task . ",positive
"strange , funny , twisted , brilliant and macabre ",positive
ranges from bad to bodacious ,negative
sag in certain places ,negative
a vanity project ,negative
pretentious mess ,negative
great over-the-top moviemaking if you 're in a slap-happy mood ,positive
plots that never quite gel ,negative
"so it 's not a brilliant piece of filmmaking , ",negative
bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni ? ,negative
tens ,positive
"you can enjoy much of jonah simply , and gratefully , as laugh-out-loud lunacy with a pronounced monty pythonesque flavor . ",positive
boring despite the scenery ,negative
somnambulant exercise ,negative
do n't blame eddie murphy but ,negative
"flat-out amusing , sometimes endearing and often fabulous ",positive
does n't pummel us with phony imagery or music ,positive
at the variety of tones in spielberg 's work ,positive
of a story that 's a lot richer than the ones hollywood action screenwriters usually come up with on their own ,positive
it is a remarkably original work . ,positive
matches about it . ,positive
i encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry ,positive
insomnia is one of the year 's best films ,positive
after drinking twelve beers ,negative
takes no apparent joy ,negative
one of the smartest ,positive
completely serviceable and quickly forgettable ,negative
a bad premise ,negative
based on the wonderful acting clinic put on by spader and gyllenhaal ,positive
flatula ,negative
a slow-moving police-procedural thriller that takes its title all too literally . ,negative
then it 's the perfect cure for insomnia . ,negative
be growing ,positive
"slow , predictable ",negative
hellish ,negative
"loud , low-budget and tired formula film ",negative
the problem with movies about angels ,negative
's something vital about the movie ,positive
's worth taking the kids to . ,positive
daring and beautifully made ,positive
by 86 minutes of overly-familiar and poorly-constructed comedy ,negative
if you grew up on scooby -- you 'll love this movie . ,positive
gawky actor ,negative
short of wonderful with its ten-year-old female protagonist and its steadfast refusal to set up a dualistic battle between good and evil . ,positive
"examines the intimate , unguarded moments of folks who live in unusual homes -- which pop up in nearly every corner of the country ",positive
fulfilling practically every expectation either a longtime tolkien fan or a movie-going neophyte ,positive
exceptionally dreary and overwrought bit ,negative
much of what we see is horrible but it 's also undeniably exceedingly clever ,positive
put on a show ,positive
"because we 've seen ( eddie ) murphy do the genial-rogue shtick to death , but because the plot is equally hackneyed ",negative
"overall , it 's a very entertaining , thought-provoking film with a simple message : god is love ",positive
it gets so preachy-keen and so tub-thumpingly loud it makes you feel like a chump ,negative
"heartwarming here relies less on forced air than on petter næss ' delicate , clever direction ... and a wonderful , imaginative script by axel hellstenius . ",positive
"sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , ",negative
"marshall keeps the energy humming , and his edits , unlike those in moulin rouge , are crisp and purposeful without overdoing it . ",positive
"exhaustion , from watching a movie that is dark ( dark green , to be exact ) , ",negative
to term an `` ambitious failure ,negative
more repulsive ,negative
", it offers much to absorb and even more to think about after the final frame . ",positive
are committed ,positive
"dumb gags , ",negative
slick production values ,positive
a semi-autobiographical film that 's so sloppily written and cast that you can not believe anyone more central to the creation of bugsy than the caterer ,negative
distinctive ,positive
"miyazaki 's nonstop images are so stunning , and his imagination so vivid , that the only possible complaint you could have about spirited away is that there is no rest period , no timeout ",positive
"( the film ) works , due mostly to the tongue-in-cheek attitude of the screenplay . ",positive
take you down a familiar road with a few twists ,positive
grace this deeply touching melodrama . ,positive
addition to sporting one of the worst titles in recent cinematic history ,negative
recommended -- as visually bland as a dentist 's waiting room ,negative
do n't add up to much more than trite observations on the human condition ,negative
"the film has the high-buffed gloss and high-octane jolts you expect of de palma , but what makes it transporting is that it 's also one of the smartest , most pleasurable expressions of pure movie love to come from an american director in years . ",positive
little more than routine ,negative
provide an emotional edge ,positive
"the places , and the people , ",positive
is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama ,positive
carry the film ,positive
cyndi lauper ,negative
a different and emotionally reserved type of survival story ,positive
some genuine quirkiness ,positive
it 's never too late to believe in your dreams . ' ,positive
retaining an integrity ,positive
demonstrate that his pathology evolved from human impulses that grew hideously twisted ,negative
"contains no wit , only labored gags . ",negative
for all its visual panache and compelling supporting characters ,positive
the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ,positive
beginning with the minor omission of a screenplay ,negative
"contrived and exploitative for the art houses and too cynical , small and decadent for the malls . ",negative
it is wise ,positive
at least passably ,positive
exhibits the shallow sensationalism characteristic of soap opera ,negative
natural-seeming actors ,positive
on the wonderful acting clinic put on by spader and gyllenhaal ,positive
sweet-tempered ,positive
tosses around some intriguing questions about the difference between human and android life ,positive
... a funny yet dark and seedy clash of cultures and generations . ,positive
a heartfelt conviction ,positive
's kind of sad that so many people put so much time and energy into this turkey . ,negative
playful paranoia ,positive
julia roberts wannabe ,negative
"it might not be 1970s animation , ",negative
"not even solondz 's thirst for controversy , sketchy characters and immature provocations can fully succeed at cheapening it . ",negative
with nothing but a savage garden music video on his resume ,negative
fluttering ,positive
a sobering meditation ,positive
"while the performances are often engaging , this loose collection of largely improvised numbers would probably have worked better as a one-hour tv documentary . ",negative
teens are looking for something to make them laugh ,positive
a word of advice to the makers of the singles ward : celebrity cameos do not automatically equal laughs . ,negative
movie rapes ,negative
"bland , surfacey ",negative
all credibility flies out the window . ,negative
inimitable diaz ,positive
a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration ,negative
as such the film has a difficult time shaking its blair witch project real-time roots ,negative
high-concept scenario ,positive
leaden and dull ,negative
cult classic ,positive
"loud , violent and mindless ",negative
recommended ,positive
the blanket statements and dime-store ruminations ,negative
"'ll find it with ring , an indisputably spooky film ; with a screenplay to die for ",positive
the good girl is a film in which the talent is undeniable ,positive
moves between heartbreak and rebellion ,positive
laughs ,positive
"a retooling of fahrenheit 451 , and even as a rip-off of the matrix ",negative
dramatically moving ,positive
"an undeniably moving film to experience , ",positive
bravo for history ,positive
too clumsy in key moments ,negative
a moving and weighty depiction of one family 's attempts to heal after the death of a child . ,positive
"it forces you to watch people doing unpleasant things to each other and themselves , and ",negative
"find an escape clause and avoid seeing this trite , predictable rehash . ",negative
massive cardiac arrest ,negative
maintained ,positive
tour de ,positive
"cheap , vulgar dialogue and a plot that crawls along at a snail 's pace . ",negative
"recite bland police procedural details , fiennes wanders ",negative
"have made a great saturday night live sketch , but a great movie it is not ",negative
bores ,negative
trotting out threadbare standbys ,negative
it drowns in sap . ,negative
", it 's icky . ",negative
one-star rating ,negative
i have n't seen such self-amused trash since freddy got fingered . ,negative
going nowhere fast ,negative
holes that will be obvious even to those who are n't looking for them ,negative
a frustrating misfire ,negative
"it looks good , sonny , ",positive
become just another situation romance about a couple of saps stuck in an inarticulate screenplay ,negative
"a warm , fuzzy feeling ",positive
it happens to flat characters ,negative
generally insulting ,negative
atypically hypnotic ,positive
one of the rarest kinds of films : ,positive
improbable ,negative
nincompoop benigni persona ,negative
one strike ,negative
freakish ,positive
bad to be good ,negative
morally bankrupt ,negative
well enough ,positive
unique niche ,positive
and damaged dreams ,negative
"'s encouraging to see a three-dimensional , average , middle-aged woman 's experience of self-discovery handled with such sensitivity ",positive
fills me with revulsion . ,negative
out of eudora welty ,positive
will only satisfy the most emotionally malleable of filmgoers . ,negative
the balance between the fantastic and the believable ,positive
"too much power , not enough puff . ",negative
the ideal casting of the masterful british actor ian holm ,positive
loosely connected ,negative
"s1m0ne 's satire is not subtle , but ",negative
comes to life in the performances . ,positive
so much farcical ,negative
"all of the elements are in place for a great film noir , but ",positive
"it 's hard to imagine anybody ever being `` in the mood '' to view a movie as harrowing and painful as the grey zone , but it 's equally hard to imagine anybody being able to tear their eyes away from the screen once it 's started . ",positive
", there is little else to recommend `` never again . '' ",negative
overly sillified plot ,negative
the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product ,negative
is a remarkably original work ,positive
this tuxedo ... should have been sent back to the tailor for some major alterations . ,negative
more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film has a lot of charm . ,positive
a wannabe comedy ,negative
"sometimes murky , always brooding look ",negative
in its committed dumbness ,negative
too cynical ,negative
"'s the kind of movie that , aside from robert altman , spike lee , the coen brothers and a few others , our moviemakers do n't make often enough ",positive
contains very few laughs and even less surprises ,negative
"its story about a young chinese woman , ah na , who has come to new york city to replace past tragedy with the american dream is one that any art-house moviegoer is likely to find compelling . ",positive
audacity ,negative
"filmed the opera exactly as the libretto directs , ideally capturing the opera 's drama and lyricism ",positive
"in self-consciously flashy camera effects , droning house music and flat , flat dialogue ",negative
the new film is a lame kiddie flick ,negative
", so , hopefully , this film will attach a human face to all those little steaming cartons . ",positive
", but to his legend ",positive
the trials of henry kissinger is a remarkable piece of filmmaking ... because you get it . ,positive
"historically significant , and personal , episode ",positive
wo n't be remembered as one of ( witherspoon 's ) better films . ,negative
"seems content to dog-paddle in the mediocre end of the pool , and it 's a sad , sick sight ",negative
"its lack of logic and misuse of two fine actors , morgan freeman and ashley judd ",negative
are sexy ,positive
suffer ' ,negative
there are many definitions of ` time waster ' but this movie must surely be one of them ,negative
"nelson 's intentions are good , but the end result does no justice to the story itself . ",negative
give all three stories life ,positive
remember back when thrillers actually thrilled ,negative
has a number of other assets to commend it to movie audiences both innocent and jaded . ,positive
goose-pimple ,positive
a war tribute ,positive
"video , and so devoid of artifice and purpose ",negative
wastes its time on mood ,negative
", this halloween is a gory slash-fest . ",positive
what does n't this film have that an impressionable kid could n't stand to hear ? ,positive
audacious-impossible ,negative
"a bit of a downer and a little over-dramatic at times , but this is a beautiful film for people who like their romances to have that french realism ",positive
good performances and ,positive
"boasts dry humor and jarring shocks , plus moments of breathtaking mystery ",positive
"allegiance to chekhov , which director michael cacoyannis displays with somber earnestness in the new adaptation of the cherry orchard , is a particularly vexing handicap . ",negative
a convincing one ,positive
"'s as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project ",negative
"escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars ",positive
of scorn ,negative
jay russell ,negative
"sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink slip . ",negative
wo n't care ,negative
", the viewer is left puzzled by the mechanics of the delivery ",negative
coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings ,negative
"stops being clever and devolves into flashy , vaguely silly overkill . ",negative
tom green stages his gags as assaults on america 's knee-jerk moral sanctimony ,negative
love and culture ,positive
spotty ,negative
friday after next spreads them pretty thin ,negative
men in black ii achieves ultimate insignificance -- it 's the sci-fi comedy spectacle as whiffle-ball epic . ,negative
stirs the emotions ,positive
sticks with its subjects a little longer ,positive
succeed merrily at their noble endeavor ,positive
"does n't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects ",negative
as if by cattle prod ,negative
"hard , endearing , caring , ",positive
"formulaic , its plot and pacing typical hollywood war-movie stuff , ",negative
summer-camp talent show ,negative
"devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , ",negative
smart and ,positive
tortured and ,negative
bad and ,negative
"an athlete , a movie star , ",positive
highly uneven ,negative
badder than bad ,negative
play like the worst kind of hollywood heart-string plucking ,negative
"whatever flaws igby goes down may possess , it is undeniably that ",negative
what with all the blanket statements and dime-store ruminations on vanity ,negative
is so charmless and vacant ,negative
that lifts blue crush into one of the summer 's most pleasurable movies ,positive
drags it back ,negative
heart-felt drama ,positive
should have a stirring time at this beautifully drawn movie . ,positive
you have figured out the con and the players in this debut film by argentine director fabian bielinsky ,positive
crime ,negative
formuliac ,negative
humor ,positive
"take you places you have n't been , and also places you have ",positive
that ends up slapping its target audience in the face by shooting itself in the foot ,negative
in short ,negative
you never know where changing lanes is going to take you but it 's a heck of a ride ,positive
"strangers , which opens today in the new york metropolitan area , so distasteful ",negative
greatest star wattage ,positive
is more fun than conan the barbarian . ,positive
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience ,negative
"... portrays young brendan with his usual intelligence and subtlety , not to mention a convincing brogue . ",positive
the leanest and meanest of solondz 's misanthropic comedies ,positive
'' has n't much more to serve than silly fluff ,negative
"maggie smith as the ya-ya member with the o2-tank will absolutely crack you up with her crass , then gasp for gas , verbal deportment . ",positive
small ... with considerable aplomb ,positive
the passions that sometimes fuel our best achievements and other times ,positive
"though lan yu lacks a sense of dramatic urgency , the film makes up for it with a pleasing verisimilitude . ",positive
that may make you hate yourself for giving in ,negative
fierce grace ,positive
are more silly than scary ,negative
it 's not a motion picture ; it 's an utterly static picture ,negative
"bring a heart and reality that buoy the film , and at times , elevate it to a superior crime movie . ",positive
poetry in motion ,positive
uni-dimensional ,negative
the crazy things that keep people going in this crazy life ,positive
paints a grand picture of an era and ,positive
", there is almost nothing in this flat effort that will amuse or entertain them , either . ",negative
catch it ... if you can ! ,positive
very little to add beyond the dark visions already relayed by superb ,negative
a few laughs ,positive
no doubt the filmmaker is having fun with it all ,positive
in the tries-so-hard-to-be-cool `` clockstoppers ,negative
contentious configurations ,negative
gripping and ,positive
a compelling french psychological drama examining the encounter of an aloof father and his chilly son after 20 years apart ,positive
a ray of hope ,positive
meager ,negative
do n't think most of the people who loved the 1989 paradiso will prefer this new version ,negative
for its rather slow beginning ,negative
often incisive satire and unabashed sweetness ,positive
sing beautifully and act adequately ,positive
"as though i was in the tiny two seater plane that carried the giant camera around australia , sweeping and gliding , banking ",positive
"balance pointed , often incisive satire and unabashed sweetness ",positive
energy and wit to entertain all ages ,positive
this terrific film ,positive
self-deprecating ,negative
rank ,negative
"... in no way original , or even all that memorable , but as downtown saturday matinee brain candy , it does n't disappoint . ",positive
"mildly funny , sometimes tedious , ultimately insignificant ",negative
ca n't help but feel ` stoked . ,positive
father cliché ,negative
low-grade ,negative
limited chemistry ,negative
", you might imagine that most every aggrieved father cliché has been unturned . ",negative
"getting together before a single frame had been shot and collectively vowing , ` this is going to be something really good ",positive
"it 's pretty linear and only makeup-deep , but bogdanovich ties it together with efficiency and an affection for the period . ",positive
the rest is just an overexposed waste of film ,negative
"talky , artificial and opaque ... an interesting technical exercise , but a tedious picture . ",negative
"evacuations , and none-too-funny commentary on the cultural distinctions between americans and brits ",negative
keeps the energy humming ,positive
to cheesier to cheesiest ,negative
it is about a domestic unit finding their way to joy ,positive
a dazzling thing to behold -- as long as you 're wearing the somewhat cumbersome 3d goggles the theater provides . ,positive
so fascinating ,positive
"miller tells this very compelling tale with little fuss or noise , expertly plucking tension from quiet . ",positive
"its logical loopholes , which fly by so fast there 's no time to think about them anyway ",negative
"whereas oliver stone 's conspiracy thriller jfk was long , intricate , star-studded and visually flashy ",positive
rewarded ,positive
"will have been discovered , indulged in and rejected as boring before i see this piece of crap again . ",negative
", ignorant fairies is still quite good-natured and not a bad way to spend an hour or two . ",positive
"drumline is -- the mere suggestion , albeit a visually compelling one , of a fully realized story . ",positive
despite playing out like a feature-length sitcom replete with stereotypical familial quandaries ,negative
"trapped wo n't score points for political correctness , ",negative
spends a bit too much time ,negative
"death to smoochy tells a moldy-oldie , not-nearly - as-nasty - as-it - thinks-it-is joke . ",negative
gorgeous film ,positive
thoughtful and ,positive
"who 's wise enough to recognize that there are few things in this world more complex -- and , as it turns out , more fragile -- than happiness ",positive
integrates thoughtfulness and pasta-fagioli comedy ,positive
volatile ,negative
match the freshness of the actress-producer and writer ,positive
"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities . ",negative
're going to face frightening late fees ,negative
astonishingly ,positive
dramatically satisfying heroine ,positive
"worry about being subjected to farts , urine , feces , semen , or any of the other foul substances ",negative
can aspire but none can equal ,negative
jackson and co have brought back the value and respect for the term epic cinema . ,positive
of the credit for the film 's winning tone ,positive
"wickedly funny , visually engrossing , never boring ",positive
"penetrating , impenetrable ",positive
of exploitative garbage ,negative
"feels more like an extended , open-ended poem than a traditionally structured story ",positive
of that moral favorite ,positive
love the opening scenes of a wintry new york city in 1899 ,positive
"the story itself it mostly told through on-camera interviews with several survivors , whose riveting memories are rendered with such clarity that it 's as if it all happened only yesterday ",positive
"a subtle , humorous , illuminating study of politics , power and social mobility ",positive
"it is life affirming and heartbreaking , sweet without the decay factor , funny and sad . ",positive
even the corniest and most hackneyed contrivances ,negative
peculiarly ,negative
utter tripe ,negative
slapped together . ,negative
"an unflinching , complex portrait of a modern israel that is rarely seen on-screen ",positive
not quite ,negative
present an unflinching look ,positive
lovely and ,positive
"sparkling , often hilarious romantic jealousy comedy ... attal looks so much like a young robert deniro that it seems the film should instead be called ` my husband is travis bickle ' . ",positive
marvelously entertaining and deliriously ,positive
) debut can be accused of being a bit undisciplined ,negative
"are paper-thin , and their personalities undergo radical changes when it suits the script ",negative
i like about men with brooms and what is kind of special ,positive
just about the surest bet for an all-around good time at the movies this summer . ,positive
"it 's all stitched together with energy , intelligence and verve , enhanced by a surplus of vintage archive footage . ",positive
disney scrape ,negative
have a case of masochism and an hour and a half to blow ,negative
how tedious ,negative
into the sort of heartache everyone ,negative
"so it 's not a brilliant piece of filmmaking , but it is a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast . ",positive
pummel us with phony imagery or music ,negative
relayed by superb ,positive
if you 're not deeply touched by this movie ,positive
terrific special effects and funnier gags ,positive
seagal is painfully foolish in trying to hold onto what 's left of his passe ' chopsocky glory . ,negative
's not a fresh idea at the core of this tale . ,negative
lifeless execution . ,negative
"creativity , and fearlessness ",positive
thought-provoking ,positive
full of grace ,positive
"has all of dean 's mannerisms and self-indulgence , but none of his sweetness and vulnerability ",negative
is both inspiring and pure joy ,positive
crisp and ,positive
the pleasure of read my lips is like seeing a series of perfect black pearls clicking together to form a string . ,positive
is too much like a fragment of an underdone potato . ,negative
( ,negative
remembering this refreshing visit ,positive
donovan ... squanders his main asset ,negative
is just lazy writing ,negative
by exceptional performances ,positive
"wilco fans will have a great time , and the movie should win the band a few new converts , too . ",positive
( a ) mess ,negative
vague without any of its sense of fun or energy ,negative
truly edgy -- ,positive
"outtakes in which most of the characters forget their lines and just utter ` uhhh , ' which is better than most of the writing in the movie ",negative
for people who like their romances to have that french realism ,positive
intimate and socially encompassing ,positive
in insignificance ,negative
effecting ,positive
drags during its 112-minute length ,negative
"recite bland police procedural details , fiennes wanders around ",negative
"the bad sound , the lack of climax and , worst of all , ",negative
watch if you only had a week to live ,positive
funniest american comedy ,positive
so different from the apple and so striking ,positive
utterly painful to watch ,negative
very meticulously but without any passion ,negative
"mr. murray , a prolific director of music videos , stuffs his debut with more plot than it can comfortably hold . ",negative
with grace and humor and gradually ,positive
sensual ,positive
bad direction ,negative
") story becomes a hopeless , unsatisfying muddle ",negative
the ticket you need ,positive
as director of the escort service was inspired ,positive
works its way up to merely bad rather than painfully awful ,negative
evolves ,positive
time stinker ,negative
men of marginal intelligence ,negative
