headline,label
جنوبی افریقی گیند بازوں کا قہر، بابراعظم کی نصف سنچری،181رنوں پرآل آوٹ ہوگئی پاکستانی ٹیم,cricket
کیسے عاشق ہیں آپ؟,entertainment
بیٹی عالیہ کے لئے یہ کیا بول گئے مہیش بھٹ,entertainment
روہت شرما نے پکڑا متنازع کیچ ، بلے باز نے میدان سے باہر جانے سے کردیا انکار,cricket
اڑتا پنجاب تنازع : امیتابھ بچن اور ہربھجن سنگھ نے فلم کی حمایت کی,entertainment
الوداع 2015 : باکس آفس کے بھی بجرنگی بھائی جان بنے سلمان خان,entertainment
کاجل اورکھیساری لال کی اس فلم نے بھوجپوری فلموں سے فحاشی کا داغ دھو دیا,entertainment
نک جونس پر مداح نے پھینکی برا، پرینکا چوپڑا نے شوہر تک پہنچایا پیغام، ویڈیو وائرل,entertainment
اسکول میں 4 سال کی بچی کااس کے ہی ہم عمر لڑکے نے کیا جنسی استحصال، پرائیویٹ پارٹ میں درد ہونے پر ہوا انکشاف,crime
کاجول نے کیا شاہ رخ خان اور اجے دیوگن کو لے کر حیران کردینے والا انکشاف,entertainment
"سڈنی میں اجنکیا رہانے نے پکڑا ""حیرت انگیز"" کیچ ، ٹیم انڈیا نے ایسے منایا جشن",cricket
دیکھیں: کرینہ کپور سے اسپتال میں ملنے کون کون پہنچا,entertainment
ایل جے پی لیڈر کے قتل کیس میں 4 لوگوں کے خلاف نامزد ایف آئی آر درج,crime
آئی پی ایل 2019 : ہیٹ ٹرک لینے والا یہ گیند باز بیچ میدان پر ہی کرنے لگا الٹیاں ، جانئے پھر کیا ہوا ؟,cricket
"ورلڈ کپ سے قبل سرفراز احمد کی ""کپتانی"" پر پھر منڈلانے لگا خطرہ ؟ یہ ہے بڑی وجہ",cricket
سنسنی خیز ! 9 سال کے بچے سے مہینوں تک ریپ کرتی رہی 36 سالہ خاتون ، ایف آئی آر درج,crime
مشہور گلوکارہ مبارک بیگم کا انتقال ، آج ہوگی تدفین,entertainment
ڈپریشن میں تھیں 'دنگل گرل' زائرہ وسیم ،آتے تھے خود کشی کے خیال,entertainment
باتھ ٹب والی بولڈ تصویر کے چکر میں پھنسیں پرینکا چوپڑا ، لوگوں نے پوچھا : اس سے پہلے کتنے شوہر تھے ؟,entertainment
سنچورین ٹیسٹ میں پاکستانی ٹیم کی ناقص کارکردگی کا شاخسانہ ، ان کھلاڑیوں پر گرسکتی ہے گاج !۔,cricket
ٹوٹ گئی وڈالی برادرس کی یہ جوڑی،پیارے لال وڈالی کا دل کا دورہ پڑنے سے انتقال,entertainment
نیوزی لینڈ: دہشت گردانہ حملے میں بال۔بال بچے بنگلہ دیشی کرکٹر، ڈریسنگ روم میں پھنسے ہیں کئی کھلاڑی,cricket
ایشیا کپ ٹرافی کی رونمائی ، پڑھیں کس ٹیم کے کپتان نے کیا کہا ؟ ,cricket
بگ باس کے گھر میں ہوئی مونالیسا کی شادی، دیکھیں تصویریں,entertainment
پرینکا چوپڑا کے کہنے پر کینسر سے متاثر سونالی بیندرے نے اپنایا نیا انداز، کہا شکریہ,entertainment
سلمان خان نے کیوں پہنا تھا کراس والا لاکیٹ؟,entertainment
پاکستان کے سابق کپتان مصباح الحق بچوں کیلئے لاہورمیں بنائیں گے اسپتال,cricket
مستقبل میں پاکستانی اداکاروں کے ساتھ کام نہیں کروں گا : کرن جوہر,entertainment
آئی سی سی کے اس قانون میں تبدیلی چاہتے ہیں ٹیم انڈیا کے کپتان وراٹ کوہلی ، بتائی یہ وجہ,cricket
بگ باس 5 میں نہیں آنا چاہتی تھیں سنی لیون ، وجہ جان کر آپ بھی رہ جائیں گے حیران,entertainment
عشق باز کی گوری نے بچپن کو کیا یاد ، 6 سال کی عمر میں ہوئی تھی جنسی استحصال کا شکار,entertainment
آسکرایوارڈ : اسپاٹ لائٹ بہترین فلم ، لیونارڈو بہترین اداکار,entertainment
جب 20 سال کی لڑکی نے راہل دراوڑ پر رکھا ہاتھ ، کمرے میں مچ گئی چیخ وپکار,cricket
گورکھپور: ڈاکٹر کفیل خان کے بھائی کو بائیک سوار بدمعاشوں نے ماری گولی,crime
! محمد عامر کی وجہ سے ٹینشن میں ہیں پاکستان کے کپتان ، ستا رہا ہے شکست کا خوف,cricket
ٹیم انڈیا کی نیند اڑانے کے ساتھ کرس ووکس نے دوہرایا 66 سال پرانا کارنامہ,cricket
ریشبھ پنت نے ناتھن لاین کے ایک اوور میں بنائے 18 رن ، چھکا لگاتے ہی حاصل کرلیا یہ خاص مقام,cricket
‘کوہلی کے بیان پر ناراض ہوا ہے بالی ووڈ کا یہ اداکار، کہا- ’بولنے سے پہلے سوچ لینا چاہے,entertainment
جنسی تعلقات قائم کرنے کے لئے مسلسل دباو ڈالتی تھی خاتون، پریشان ہو کر نوجوان نے لگائی پھانسی,crime
یکساں سول کوڈ فی الحال ممکن نہیں : لا کمیشن,entertainment
نرگس نے ایک مہینے میں گھٹایا 4 کلو وزن,entertainment
