Aspect Category,News Headlines
Crime,ڪارنهن جي الزام ۾ مڙس پنهنجي زال کي قتل ڪري ڇڏيو.
Sports,لاهور قلندرز ڪواليفائر ۾ 76 رنسن تي ڍير، ملتان سلطانز لڳاتار ٽيون ڀيرو فائنل ۾ پهچي وئي
Crime,واردات جا سي سي ٽي وي فوٽيج سامهون اچي ويا.
Sports,سنيل گواسڪر ڀارت کي ورلڊ ڪپ کٽڻ جو فارمولو ٻڌائي ڇڏيو
Politics,اڳوڻي ويراعظم چيو ته پارٽي اڳواڻ عمران خان جي دور جون سموريون بيقاعدگيون ۽ غلط فيصلا عوام جي سامهون رکن، هاڻ اهو ضروري ٿي پيو آهي ته قوم کي عمران خان جهڙي فتني مان ڇوٽڪارو ڏيارجي ۽ ملڪ ۾ افراتفري ڦهلائيندڙ عنصرن کي قوم جي آڏو وائکو ڪجي.
Crime,تنگواڻي ۾ 4 ڏينهن اڳ اغوا ٿيل هڪ ڄڻو بازياب نه ٿيو، ايس ايس پي ڪشمور گهر جو دورو ڪيو پر پوليس ڪابه ڪارروائي نه ڪئي، وارثن.
Politics,سنڌ اسيمبلي اپوزيشن جي سخت گوڙ ۽ احتجاج دوران عدالتي فيصلي جي خلاف ۽ سڄي ملڪ ۾ هڪ ئي ڏينهن چونڊون ڪرائڻ جو گڏيل ٺهراءُ منظور ڪري ورتو.
Sports,پاڪستان کي ڪلين سوئيپ ڪرڻ چاهيون ٿا: اسٽوڪس خطرناڪ ارادا ظاهر ڪري ڇڏيا
Politics,” اسان جي هڪ هٿ ۾ ايٽمي طاقت ۽ ٻئي هٿ ۾ ڪستو آهي“
Politics,جڏهن ته اليڪشن التوا ڪيس اڄ ٻيهر شنوائي لا مقرر ڪيو ويو آهي.
Politics,تقريبن ۾ اي ڊي سي سنجي ترڪيو، ڊسٽرڪٽ اليڪشن ڪمشنر محمد سليم دل، اي سي حميد مغل، اي سي اختر لاشاري ۽ ٻيا موجود هئا، جن ڌار ڌار تقريبن ۾ اميدوارن کان حلف کڻايو.
Crime,رتيديري ۾ پوليس ڪارروائي، 2 منشيات فروش گرفتار.
Crime,نيب چيئرمين تي 50 ڪروڙ جو پلاٽ 10 ڪروڙن ۾ خريد ڪرڻ بابت جاچ لاءِ دٻاءُ
Crime,آمريڪي ليکڪه طرفان اهي الزام پهريون ڀيرو 2019ع ۾ سامهون آيا هئا، ٽرمپ طرفان الزامن کي ڪوڙو قرار ڏيڻ تي ڪيرول عدالت سان رابطو ڪيو هو، جنهن تي ٽرمپ به ساک کي ڇيهو رسائڻ جو ڪيس داخل ڪيو هو.
