headline,label
ایکتا کپور نے بنائی ہندوستان کی سب سے بولڈ ویب سیریز ایکس ایکس ایکس ، یہاں دیکھیں ٹریلر,entertainment
"سورا بھاسکر کو "" راہبہ ریپ"" معاملے میں پھر سے ٹرول کرنے کی کوشش ، اس مرتبہ ٹویٹر نے دیا ساتھ",entertainment
ہندوستان- پاکستان کے بیچ امن کی گزارش کرتا ہوا یہ گانا آپ نے سنا کیا؟,entertainment
دیپکا نے رکھی انوکھی شرط، دبنگ خان کے ساتھ تبھی فلم کریں گی جب,entertainment
کسی نے ڈیوائیڈر پر چڑھائی گاڑی، تو کسی پر لگا غلط تشہیر کا الزام، دیکھیں ٹی وی اسٹارس کیلئے کیسا رہا یہ ہفتہ,entertainment
سیٹ پر ایسے منایا گیا کپل شرما کا یوم پیدائش، سنی لیونی نے بھی بھیجی مبارکباد,entertainment
دبئی میں رد ہوا دبنگ سلمان خان کا شو، اداکار نے مداحوں سے کہا جلد لوٹوں گا,entertainment
آسٹریلیا کے خلاف پہلے ٹیسٹ کیلئے ٹیم انڈیا کا اعلان ، امیش اور جڈیجہ باہر ، مگر اس بڑے کھلاڑی کو ملی جگہ,cricket
دادری سانحہ: مشتعل بھیڑ اخلاق کے پورے خاندان کو زندہ جلا دینا چاہتی تھی,crime
ہندوستان کے سب سے بڑے اکسپورٹ ہاوس کے مالک ہیں سونم کپور کے ہونے والے شوہر آنند آہوجا,entertainment
دیکھیں: بگ باس کے ان عاشقوں کا باہر ہوا بریک اپ,entertainment
اس وقت سنی لیونی نے اس شرط پر سائن کی تھیں 6 پارن فلمیں,entertainment
یوراج کو چھوڑ اس کھلاڑی پرآیا پریتی زنٹا کا دل! 4.80 میں خریدا,cricket
سلمان خان ہالی ووڈ میں کام نہیں کرنا چاہتے,entertainment
سلمان خان کو جان سے مارنے کی دھمکی، یو پی سے ایک گرفتار,entertainment
چھیڑ چھاڑ سے بچنے کے لئے تین لڑکیاں چلتی بس سے كودیں,crime
چھیڑ چھاڑ کی مخالفت کی تو گاوں والوں نے اسکول میں گھس کر کی پٹائی ، 34 طالبات زخمی,crime
سلمان خان نے انجانے میں توڑا یہ قانون، اے ایس آئی نے بھیجا نوٹس,entertainment
باکسر کے کردار میں نظر آئیں گےبالی ووڈ اداکار شاہد کپور,entertainment
کالے ہرن شکار معاملہ : 7 مئی کو ہوگا سلمان خان کی قسمت کا فیصلہ,entertainment
ہار مان چکے تھے محمد حفیظ ... لیکن شعیب اختر کے ایک فون کال نے بدل دی زندگی,cricket
فوٹو شوٹ کرانا پڑا سارہ علی خان کو بےحد مہنگا، سوشل میڈیا صارفین نے جم کر کیا ٹرول,entertainment
ثانیہ مرزا اور شعیب ملک نے کیا بیٹے کا نام اعلان، یہ رکھا گیا ننہی جان کا نام,cricket
دھونی - پنت نہیں، گوتم گمبھیرنے ہندوستان کے اس کھلاڑی کو بتایا بہترین وکٹ کیپربلے باز,cricket
"دہشت گردی کی زد میں ہے انگلینڈ کے اس کھلاڑی کا "" گاوں "" ، ٹیم انڈیا کو دے رہے ہیں زخم",cricket
کرکٹ کے میدان پر ایک اور موت ، نان اسٹرائیکر اینڈ پر غش کھا کر گرا یہ کھلاڑی ، چلی گئی جان,cricket
اب یوپی کے دیوریا میں مظفرپور جیسے سیکس ریکٹ کا پردہ فاش، 24 خواتین آزاد کرائی گئیں,crime
انوشکا شرما کی پھٹکار کے بعد اب ممبئی شہری نے کیا پلٹ وار ، سوشل میڈیا پر لکھی ایسی پوسٹ,entertainment
"پاکستان - آسٹریلیا پہلا ٹی 20 میچ آج ، اس "" بڑے کھلاڑی ""کی کمی گرین شرٹس کو پڑ سکتی ہے بھاری",cricket
ریسپشن میں گرے وہئٹ ڈریس میں پہونچی سونم کپور، بالی ووڈ سلیبس بھی دکھے الگ انداز میں,entertainment
