Cleaned_Tweet,Class
لاہور جانوروں کا گوشت بھی قبضہ میں لے لیا گیا,N
کلاسک ویڈیو گیم کی شکل میں بنایا گیا منفرد کیک نیویارک کیک خواہ سالگرہ کا ہویا کسی اور,P
دبئی چوتھے دن کا کھیل ختم آسٹریلیا کے رنز کھلاڑی آئوٹ,P
نئے صوبے کا قیام انتظامی بنیادوں پہ ہونا چاہیئے لسانی بنیادوں پہ نہیں,P
اسلام آباد خورشید شاہ کے بیان پرانھیں وضاحت کا موقع دیا جانا چاہیے حافظ طاہر اشرفی,P
اسلام آباد مولانا فضل الرحمان پر حملے کے خلاف کل ملک بھر میں یوم مذمت منایا جائے گا علامہ محمد احمد لدھیانوی,N
مجاہد اعظم مولانا غلام اعظم نے اپنی جوانی سے بڑھا پے تک صبر عزمیت اور مسلسل جدوجہد کی تاریخ رقم کر دی اس,P
سیالکوٹ ہندوستانی فورسز کی بلا اشتعال فائرنگ پاکستان کے صوبہ پنجاب کے شہر سیالکوٹ کی ورکنگ,N
مہاجر اپنے حصے کا پاکستان ساتھ لیکر آئے تھے خواجہ اظہار الحسن العجب,P
ﻋﺎﻟﻤﯽ ﺍﺳﺘﻌﻤﺎﺭ ﺍﻣﺮﯾﮑﺎ ﻭ ﺍﺳﺮﺍﺋﯿﻞ ﺍﻭﺭﺍ ﻧﮑﮯ ﻧﻤﮏ ﺧﻮﺍﺭ ﺳﻌﻮﺩﯼ ﻋﺮﺏ ﮐﮯ ﺳﯿﻨﮯﻣﯿﮟ ﺧﻨﺠﺮ ﮐﯽ ﻣﺎﻧﻨﺪ ﻣﺎﮦ ﻣﺤﺮﻡ ﺻﻔﺮﺍﻭﺭ ﺭﺑﯿﻊ ﺍﻻﻭﻝ,N
کراچی میں تمام نیوز چینل کی بندشایم کیو ایم اور پاکستان مسلم لیگ زندہ بادپاکستان ملک ہے شہنشاہوں کا بدمعاشوں کا,N
دنیا کے ایک بہترین مسلم خلیفہ کی اپنے بچوں کو نصیحت مولانا طارق جمیل صاحب,P
خاتو ن جج کو کمرہ عدالت میں کرکٹ سیکھنی پڑگئی,P
چندہ نہ دینے والے جانور ہوتے ہیں بالوزن جو سیاسی نہیں ہوتا وہ جانور ہوتاہے فرمودات فریڈرک عمران اینجلز خان,N
دبئی ٹیسٹ پاکستان کے خلاف آسٹریلیا کی آٹھویں وکٹ رنز پر گر گئی,N
ڈیزل خان نے تمبو میں اکیلا رہنے کی پیشن گوئی کر دی ناکام ڈیزل خان,P
کیا اس سے زیادہ بھی تماشے کی تمنا ھے تمھیں,P
کشمیر کی صورتحال اقوام متحدہ بھی خاموش نہ رہ سکا بھارت کا سخت جواب,N
سالا چوتیا,N
وہ میری آخری سرحد ہو جیسے سوچ جاتی ہی نہیں اب ا س سے آگے,N
میں آپکی بات سے اتفاق کرتا ہوں لیکن میں سب کی رائے لینا اور سننا پسند کرتا ہوں ایک عادی بھائی ہیں کبھی کام کی بات نئ کی پ سنتا,P
سندھ میں پیپلز پارٹی کی شان دار کارکردگی کب ہمیں زندہ لوگوں کا احساس ہو گا,P
لاہور انٹری ٹیسٹ کو ختم نہیں کیا معاملہ زیر غور ہے صوبائی وزیر رانا مشہود,P
قادری کے اعلان کے بعد دھرنے کے آخری مناظر چند لمحات پہلے لی گئی کچھ تصاویر,P
اسلام آباد ملزم کا ایک ساتھی فرار ہوگیا کسی کارکن پر حملہ ہوا تو شدید ردعمل ہو گا رشید گوڈیل,N
رقص کرنا ہے تو پھر پاؤں کی زنجیر نہ دیکھشاہ,N
محرم الحرام کا چاند نظر آ گیا یوم عاشورہ چار نومبر کو ہوگا,P
عشق کے روگ مار دیتے ھیں,N
جناب اسپیکر آج سے نون لیگ کو منافق لیگ کا نام دیا جائے کیونکہ نون لیگ نے سچ تو کبھی بولنا نہیں,N
انقلاب کی لغت میں مایوسی اور بے یقینی نہیں ہوتی ڈاکٹر طاہر القادری انقلاب ا نے کو ہے,P
وینا ملک کا بیٹا سوشل میڈیا پر مقبولیت میں شلپا شیٹھی کے بیٹے سے آگے کراچی وینا ملک کے بیٹے ابرام خان,P
جو چیز ﷲ نہ دے بندوں سے نہیں مانگنا چاہیے,P
ح قے کی انگلش کیا ہے ساتھ یہ بھی بتائیے کہ گٹکے کو انگلش میں کیا کہتے ہیں,N
غم کے لاکھوں دکانداروں سے اک تبسم فروش بہتر ہے,P
اسلام آباد اور پشاور میں محرم الحرام کا چاند نظر اگیا هے تمام اھل اسلام کو نیا سال مبارک ھو,P
ﻭﮦ ﭼﺸﻢ ﻓﺘﻨﮧ ﮔﺮ ﮨﮯ ﺳﺎﻗﯽﺀ ﻣﯿﺨﺎﻧﮧ ﺑﺮﺳﻮﮞ ﺳﮯﮐﮧ ﺑﺎﮨﻢ ﻟﮍ ﺭﮨﮯ ﮨﯿﮟ ﺷﯿﺸﮧ ﻭ ﭘﯿﻤﺎﻧﮧ ﺑﺮﺳﻮﮞ ﺳﮯﺍﻗﺒﺎﻝ ﺳﮩﯿﻞ,N
جلسے کی ناکامی کا غصه جیو نیوز کے نمائیندے پر اسکا کیمره توڑ کر نکالا گیا خان جی آپ حقیقت چھپا نھی سکتے,N
تہذیب سکھاتی ہے جینے کا سلیقہ تعلیم سے جاہل کی جہالت نہیں جاتی کچھ دوغلے لوگوں کے نام,P
سات سمندر پار میں تیرے پیچھے پیچھے آگیا,P
منافق کی تین نشانیاں ہیں جب بات کرے توجھوٹ بولے جب وعدہ کرے تواس کی خلاف ورزی کرے اور جب امانت رکھوائی جائے تواس میں خیانت کرے بخاری,N
بریکنگ کراچی ایدھی سنٹر ڈکیتی کے مرکزی ملزم مظہرکی نشاندہی پر پولیس کے چھاپے,N
جناب اسپیکرلاہور میٹرو بس منصوبہ ایک ارب کروڑ لاکھ روپے سالانہ خسارے میں چل رہا ہے دستاویز,N
اداکارہ سدرہ نور بھی رشتہ ازدواج میں منسلک ہوگئیں,P
اجیاکلکم واوا اے اودر تیان مارن لگا واں,P
فلسفہ محبت کی تقریب رونمائی براہ راست نشر کیوں نہیں کی,N
نورا اپنے رشتے دار پر سوار,N
تہمتیں تو لگتی ہیں روشنی کی خواہش میں گھر سے باہر آنے کی ک چھ سزا تو ملتی ہے لوگ لوگ ہوتے ان کو کیا خبر جاناں,P
تھرپارکر میں دنوں میں بچے غذائی قلت سے جاں بحق سندھ حکومت غافل,N
